325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Typ,Uppgift,#M,#O,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 12:36:57,create,3a,-,uppgift,1,0,.,0,0m,1.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 12:36:51,create,−2,uppgift,6,0,0,0m,2.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 12:35:50,create,−2,uppgift,5,2,4,.,1m,0.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 12:34:13,create,−2,uppgift,4,4,8,.,1m,35.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 12:31:13,create,−2,uppgift,3,7,14,2m,59.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08 12:29:13,create,−2,uppgift,1,5,10,1m,57.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 12:35:47,create,−2,uppgift,5,5,10,2m,26.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 12:33:08,create,−2,uppgift,4,4,8,2m,37.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 12:28:33,create,2,-,uppgift,3,8,16,.,4m,34.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 12:26:22,create,2,-,uppgift,2,5,10,2m,9.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 12:25:59,create,2,-,uppgift,1,1,2,0m,21.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 12:24:46,create,−2,uppgift,1,3,6,1m,9.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29 09:58:07,create,3b-,uppgift,4,3,9,1m,18.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29 09:56:45,create,3b-,uppgift,3,3,..9,.,1m,20.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29 09:54:20,create,3b,-,uppgift,2,5,15,2m,24.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29 09:52:47,create,3b-,uppgift,1,3,9,1m,32.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29 09:52:26,create,3a,-,uppgift,1,1,3,Om,14.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:34:24,create,3a,-,uppgift,4,1,3,0m,29.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:33:19,create,3a,uppgift,3,2,6,1m,2.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:32:17,create,3a,-,uppgift,1,2,6,0m,49.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:30:27,create,2,-,uppgift,6,4,.,8,.,1m,46.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:27:58,create,2,-,uppgift,5,4,8,2m,27.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:25:01,create,−2,uppgift,4,6,12,2m,55.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:23:15,create,2,-,uppgift,3,4,8,1m,43.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:22:23,create,2,-,uppgift,3,2,4,0m,49.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:19:48,create,−2,uppgift,2,5,10,.,2m,34.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:18:38,create,2,-,uppgift,1,3,6,1m,8.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 12:18:33,create,3a,-,uppgift,1,0,0,0m,2.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:56:23,create,5,-,uppgift,5,1,3,27m,3.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:50:56,create,5,-,uppgift,6,9,45,5m,24.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:47:40,create,6,-,uppgift,6,4,24,3m,13.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:46:59,create,6,-,uppgift,1,1,4,0m,39.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:46:59,create,6,-,uppgift,1,1,4,0m,39.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:46:00,create,6,-,uppgift,3,3,15,0m,57.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:42:39,create,−2,uppgift,4,5,10,3m,13.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:41:43,create,−2,uppgift,5,2,4,0m,51.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 09:39:31,create,−2,uppgift,5,4,8,2m,8.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:45:57,create,6,-,uppgift,5,1,.,5,0m,8.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:45:29,create,6,-,uppgift,5,1,5,0m,7.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:45:10,create,6,-,uppgift,5,1,5,0m,11.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:44:53,create,6,-,uppgift,5,1,5,0m,8.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:42:16,create,6,-,uppgift,4,6,24,2m,34.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:41:34,create,2,-,uppgift,5,2,4,0m,35.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:39:02,create,2,-,uppgift,2,8,16,2m,27.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:38:49,create,1,-,uppgift,3,1,1,0m,6.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:38:14,create,−1,uppgift,3,1,1,Om,32.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:38:07,create,1,-,uppgift,2,0,0,.,0m,1.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 09:38:02,create,−1,uppgift,1,0,.,0,Om,2.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 12:32:41,create,6,-,uppgift,1,2,8,0m,55.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 12:27:37,create,6,-,uppgift,6,5,30,4m,47.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 12:22:29,create,6,-,uppgift,2,4,24,4m,58.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 12:22:23,create,6,-,uppgift,5,0,.,0,0m,1.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 12:19:28,create,6,-,uppgift,5,3,15,2m,51.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 12:17:37,create,6,-,uppgift,3,2,10,1m,47.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:36:31,create,6,-,uppgift,1,2,8,Om,48.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:36:03,create,3b-,uppgift,5,1,3,0m,21.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:35:59,create,3b-,uppgift,10,0,0,0m,1.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:34:15,create,3b-,uppgift,8,5,15,1m,32.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:33:01,create,3b,-,uppgift,7,3,9,1m,11.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:31:42,create,3b,-,uppgift,1,3,9,1m,17.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:30:59,create,3b,-,uppgift,1,2,6,0m,30.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:30:47,create,3b-,uppgift,2,0,0,0m,4.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:30:20,create,2,-,uppgift,6,0,.,0,Om,3.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 11:29:28,create,−2,uppgift,2,2,4,0m,50.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 06:57:07,create,5,-,uppgift,1,0,.,0,Om,2.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 06:57:03,create,6,-,uppgift,5,0,.,0,.,0m,1.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 06:56:57,create,6,-,uppgift,1,0,.,0,Om,2.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 06:56:57,create,6,-,uppgift,1,0,0,.,0m,2.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:46:59,create,−2,uppgift,5,2,4,20m,35.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:46:54,create,−2,uppgift,6,0,0,0m,3.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
