Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-03-25 09:14:46,create,6 - uppgift 2,0,,,0,,,0m 17.6s
2021-02-17 09:04:37,create,3b - uppgift 3,2,,,6,,,0m 53.8s
2021-02-17 09:03:55,create,3a - uppgift 4,1,,,3,,,0m 31.2s
2021-02-17 09:02:57,create,3a - uppgift 6,1,,,3,,,0m 55.2s
2021-02-17 09:01:38,create,3a - uppgift 3,1,,,3,,,1m 16.2s
2021-02-17 09:00:27,create,4 - uppgift 1,1,,,4,,,1m 0.4s
2021-02-17 08:58:50,create,4 - uppgift 3,3,,,6,,,1m 35.4s
2021-02-16 08:59:07,create,3a - uppgift 12,1,,,3,,,0m 12.8s
2021-02-16 08:58:24,create,3a - uppgift 10,1,,,3,,,0m 40.9s
2021-02-16 08:58:06,create,3a - uppgift 10,1,,,3,,,0m 15.8s
2021-02-16 08:57:49,create,3a - uppgift 4,1,,,3,,,0m 10.8s
2021-02-16 08:57:23,create,3a - uppgift 8,1,,,3,,,0m 13.2s
2021-02-16 08:56:51,create,3a - uppgift 9,2,,,6,,,0m 30.0s
2021-02-16 08:56:45,create,1 - uppgift 5,0,,,0,,,0m 1.7s
2021-02-16 08:55:57,create,5 - uppgift 4,1,,,4,,,0m 14.1s
2021-02-16 08:55:04,create,5 - uppgift 1,2,,,10,,,0m 51.6s
2021-02-16 08:54:09,create,6 - uppgift 1,1,,,4,,,0m 37.8s
2021-02-16 08:51:12,create,6 - uppgift 5,4,,,20,,,2m 54.2s
2021-02-16 08:49:09,create,6 - uppgift 1,5,,,20,,,2m 0.0s
2021-02-16 08:48:04,create,6 - uppgift 3,2,,,10,,,0m 56.3s
2021-02-12 09:14:53,create,5 - uppgift 6,2,,,10,,,1m 27.1s
2021-02-12 09:13:46,create,5 - uppgift 4,3,,,12,,,1m 3.9s
2021-02-12 09:12:39,create,5 - uppgift 2,2,,,10,,,1m 2.8s
2021-02-12 09:09:03,create,5 - uppgift 3,10,,,30,,,3m 33.2s
2021-02-12 09:07:33,create,4 - uppgift 1,4,,,16,,,1m 24.5s
2021-02-12 09:06:15,create,4 - uppgift 4,2,,,6,,,1m 14.4s
