Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-04-22 08:30:50,create,3b - uppgift 14,1,,,3,,,5m 42.9s
2021-04-22 08:28:27,create,3b - uppgift 1,1,,,3,,,2m 15.1s
2021-04-22 08:22:33,create,3b - uppgift 3,1,,,3,,,5m 51.1s
2021-04-22 08:22:26,create,3b - uppgift 3,0,,,0,,,0m 0.9s
2021-04-22 08:17:07,create,3b - uppgift 1,3,,,9,,,5m 9.8s
2021-04-20 08:30:07,create,3b - uppgift 5,0,,,0,,,1m 53.6s
2021-04-20 08:28:55,create,3b - uppgift 1,1,,,3,,,1m 8.4s
2021-04-20 08:23:21,create,3b - uppgift 7,0,,,0,,,5m 28.4s
2021-04-20 08:22:52,create,3b - uppgift 8,1,,,3,,,0m 20.5s
2021-04-20 08:22:48,create,3b - uppgift 4,0,,,0,,,0m 0.9s
2021-04-20 08:22:03,create,3b - uppgift 1,1,,,3,,,0m 41.1s
2021-04-20 08:18:34,create,3b - uppgift 1,2,,,6,,,3m 28.1s
2021-04-19 11:20:20,create,3b - uppgift 1,2,,,6,,,1m 11.0s
2021-04-19 11:19:35,create,3b - uppgift 15,1,,,3,,,0m 39.0s
2021-04-19 11:18:57,create,3b - uppgift 5,1,,,3,,,0m 35.4s
2021-04-19 11:15:39,create,3b - uppgift 7,2,,,6,,,3m 15.5s
2021-04-19 11:15:16,create,3b - uppgift 8,1,,,3,,,0m 21.4s
2021-04-19 11:14:46,create,3b - uppgift 1,1,,,3,,,0m 25.6s
2021-04-19 11:14:08,create,3b - uppgift 9,1,,,3,,,0m 33.9s
2021-04-19 11:11:26,create,3b - uppgift 1,2,,,6,,,2m 38.9s
2021-04-19 11:11:18,create,3b - uppgift 4,0,,,0,,,0m 5.5s
2021-04-19 11:10:57,create,3b - uppgift 3,1,,,3,,,0m 19.5s
2021-04-19 11:07:26,create,3b - uppgift 1,5,,,15,,,3m 29.1s
2021-04-19 08:29:09,create,3b - uppgift 8,1,,,3,,,0m 27.2s
2021-04-19 08:27:46,create,3b - uppgift 5,1,,,3,,,1m 16.4s
2021-04-19 08:27:42,create,3b - uppgift 1,0,,,0,,,0m 2.7s
2021-04-19 08:27:30,create,3b - uppgift 6,0,,,0,,,0m 0.9s
2021-04-19 08:24:20,create,3b - uppgift 3,2,,,6,,,2m 50.6s
2021-04-19 08:23:01,create,3b - uppgift 1,1,,,3,,,1m 17.6s
2021-04-19 08:22:50,create,3b - uppgift 1,0,,,0,,,0m 1.8s
